gi,rv,ff,q10_1,q10_2,q10_3,q10_4,w_1,w_2,w_3,w_4
2,10.73123096,42.0589306,4.426727184,1.088405866,0.749189315,0.533954663,23.35518755,5.148891519,2.941212258,1.981142365
2.1,11.23399386,43.87862687,4.426727184,1.143215255,0.786177005,0.56065354,24.50045939,5.521259718,2.941212258,2.051360681
2.2,11.735139,45.66916175,4.426727184,1.198024633,0.823188878,0.587352426,25.63685732,5.901370425,2.941212258,2.124146362
2.3,12.23943921,47.46625893,4.426727184,1.252834001,0.860223437,0.61405132,26.76464895,6.289177872,2.958502322,2.199470927
2.4,12.73609098,49.25127786,4.426727184,1.307643362,0.897279187,0.640750224,27.88410187,6.684636287,2.988192523,2.277305893
2.5,13.23329914,51.01133309,4.426727184,1.362452716,0.934354633,0.667449138,28.99548369,7.0876999,3.029442396,2.357622779
2.6,13.72362651,52.78410384,4.426727184,1.417262066,0.971448278,0.694148061,30.09906201,7.498322941,3.08200969,2.440393103
2.7,14.21258304,54.52223495,4.426727184,1.472071412,1.008558628,0.720846994,31.19510443,7.916459639,3.145652153,2.525588383
2.8,14.7036662,56.23795901,4.426727184,1.526880757,1.045684186,0.747545937,32.28387855,8.342064225,3.220127535,2.613180138
2.9,15.18518615,57.92732635,4.426727184,1.581690102,1.082823457,0.774244891,33.36565196,8.775090928,3.305193585,2.703139884
3,15.6699934,59.5814309,4.426727184,1.636499448,1.119974947,0.800943855,34.44069227,9.215493978,3.400608053,2.79543914
3.1,16.13920111,61.19528279,4.426727184,1.691308798,1.157131672,0.82764283,35.50957528,9.663354504,3.505505153,2.889984944
3.2,16.61566025,62.81468804,4.426727184,1.746118152,1.19429132,0.854341818,36.57217537,10.11884094,3.619722934,2.986764368
3.3,17.09439541,64.456114,4.426727184,1.800927505,1.231459395,0.881040815,37.62770797,10.58203846,3.744074891,3.085868985
3.4,17.5623917,66.05299635,4.426727184,1.855736852,1.268641403,0.907739822,38.67538854,11.05303225,3.879374519,3.187390365
3.5,18.02587883,67.59524651,4.426727184,1.910546188,1.305842849,0.934438838,39.71443254,11.53190748,4.026435314,3.291420079
3.6,18.48638041,69.12390986,4.426727184,1.96535551,1.343069239,0.961137861,40.74405542,12.01874934,4.186070772,3.398049699
3.7,18.9415559,70.6695011,4.426727184,2.020164811,1.380326079,0.987836891,41.76347262,12.51364301,4.359094389,3.507370797
3.8,19.40166096,72.18613974,4.426727184,2.074974089,1.417618873,1.014535926,42.77189959,13.01667366,4.54631966,3.619474944
3.9,19.85061922,73.65063509,4.426727184,2.129783339,1.454953127,1.041234966,43.7685518,13.52792648,4.748560081,3.73445371
4,20.30766718,75.13847664,4.426727184,2.184592555,1.492334347,1.06793401,44.75264468,14.04748664,4.966629148,3.852398668
4.1,20.75667088,76.5865522,4.426727184,2.239401805,1.529693919,1.094633091,45.73204963,14.57360559,5.191588546,3.972084626
4.2,21.20689059,78.00058114,4.426727184,2.29421114,1.566978393,1.121332235,46.71310583,15.10495884,5.416354674,4.092568688
4.3,21.65827685,79.42859592,4.447507826,2.349020533,1.604216021,1.148031426,47.69273039,15.64226764,5.644523101,4.214365872
4.4,22.10084934,80.78255884,4.763986242,2.403829958,1.641435053,1.174730648,48.66784045,16.18625327,5.879689393,4.337991196
4.5,22.54245236,82.11008856,5.109146118,2.458639388,1.678663739,1.201429888,49.63535313,16.73763699,6.125449117,4.463959675
4.6,22.97720813,83.40718133,5.494172797,2.513448794,1.715930332,1.228129129,50.59218555,17.29714007,6.385397839,4.592786327
4.7,23.41446748,84.71983991,5.930251621,2.56825815,1.753263082,1.254828357,51.53525484,17.86548377,6.663131128,4.72498617
4.8,23.8550302,85.95833049,6.428567933,2.623067429,1.79069024,1.281527556,52.46147812,18.44338936,6.962244549,4.861074219
4.9,24.28078274,87.18092637,7.000307075,2.677876604,1.828240056,1.308226711,53.36777253,19.03157811,7.28633367,5.001565494
5,24.70343532,88.40203238,7.65665439,2.732685648,1.865940781,1.334925808,54.25105518,19.63077129,7.638994058,5.146975009
5.1,25.12779314,89.56578864,8.348298284,2.787494495,1.903757269,1.361624844,55.09019366,20.25581071,8.027862497,5.29677155
5.2,25.5542225,90.65526203,9.031349742,2.842303129,1.94163807,1.388323834,55.8744295,20.91579821,8.454347162,5.450123711
5.3,25.96031784,91.65525731,9.72512798,2.897111596,1.979586984,1.415022784,56.61624074,21.602845,8.912700708,5.607096229
5.4,26.38645281,92.67520914,10.44895222,2.951919942,2.017607809,1.441721703,57.32810544,22.30906234,9.39717579,5.767753838
5.5,26.80406014,93.56608183,11.22214166,3.006728215,2.055704346,1.468420598,58.02250163,23.02656146,9.902025063,5.932161275
5.6,27.2200203,94.41241108,12.06401554,3.061536461,2.093880393,1.495119477,58.71190737,23.7474536,10.42150118,6.100383274
5.7,27.62070938,95.05412876,12.99389306,3.116344726,2.132139748,1.521818349,59.40880068,24.46385001,10.9498568,6.272484572
5.8,28.02803122,95.58282507,14.03109344,3.171153056,2.170486213,1.54851722,60.12565963,25.16786191,11.48134458,6.448529903
5.9,28.43244429,96.07922631,15.19493589,3.225961499,2.208923584,1.575216098,60.87496224,25.85160056,12.01021716,6.628584003
6,28.84465933,96.49965511,16.50473964,3.280770101,2.247455663,1.601914992,61.66918657,26.50717719,12.53072721,6.812711608
6.1,29.24345129,96.86345151,17.97551357,3.335558752,2.286205809,1.628613883,62.48681952,27.15415081,13.07839156,7.005353864
6.2,29.64606223,97.14748372,19.59661984,3.390313629,2.325250726,1.655312751,63.29962865,27.81408703,13.68308075,7.209294259
6.3,30.03204249,97.39562759,21.34890762,3.445044205,2.364524225,1.6820116,64.11001299,28.48210701,14.33057805,7.422111036
6.4,30.4301741,97.59021157,23.21322605,3.499759955,2.403960119,1.708710434,64.92037157,29.15333188,15.00666672,7.641382444
6.5,30.81394661,97.73826461,25.17042428,3.554470351,2.443492217,1.735409257,65.73310343,29.82288278,15.69713001,7.864686727
6.6,31.20178573,97.88361628,27.20135147,3.609184869,2.483054332,1.762108071,66.5506076,30.48588085,16.38775117,8.089602132
6.7,31.60340336,98.06352113,29.28685676,3.663912982,2.522580276,1.788806881,67.37528313,31.13744725,17.06431347,8.313706904
6.8,31.98332851,98.17794138,31.4077893,3.718664163,2.562003859,1.81550569,68.20952903,31.7727031,17.71260016,8.53457929
6.9,32.36477079,98.29866163,33.54499824,3.773447888,2.601258894,1.842204502,69.05574435,32.38676955,18.31839449,8.749797535
7,32.75047405,98.43133191,35.67933274,3.828273628,2.640279191,1.86890332,69.91632811,32.97476774,18.86747973,8.956939885
7.1,33.11940225,98.51471877,37.92179551,3.88267765,2.679187714,1.895602126,70.80812087,33.5385801,19.38214906,9.158793558
7.2,33.4964892,98.60559445,40.36020659,3.93636545,2.718136927,1.922300904,71.73836291,34.08515354,19.89251293,9.359919003
7.3,33.85962842,98.664389,42.94064108,3.989600351,2.757104893,1.948999666,72.69505289,34.61720597,20.39608053,9.560554311
7.4,34.23760734,98.72096705,45.60917409,4.042645677,2.796069673,1.975698422,73.66618949,35.13745526,20.89036101,9.760937575
7.5,34.61937037,98.76149458,48.31188071,4.095764751,2.835009332,2.002397183,74.63977135,35.64861932,21.37286357,9.961306888
7.6,34.97427491,98.80253063,50.99483606,4.149220897,2.873901931,2.029095961,75.60379715,36.15341604,21.84109736,10.16190034
7.7,35.34418172,98.84426921,53.60411524,4.203277437,2.912725532,2.055794766,76.54626555,36.6545633,22.29257157,10.36295603
7.8,35.70134243,98.89809218,56.08579336,4.258197695,2.9514582,2.08249361,77.45517522,37.15477901,22.72479536,10.56471204
7.9,36.05608973,98.94450247,58.38594551,4.314244995,2.990077995,2.109192502,78.3185248,37.65678105,23.13527791,10.76740647
8,36.41740441,98.99090551,60.45064682,4.371682659,3.028562981,2.135891455,79.12431297,38.16328732,23.52152839,10.97127742
8.1,36.77151276,99.03570923,62.38193869,4.430039043,3.066955121,2.162590447,79.89591942,38.66911913,23.88817701,11.17609181
8.2,37.12329736,99.08046056,64.31133232,4.488697687,3.10530787,2.189289453,80.66302012,39.16763703,24.24122676,11.38141959
8.3,37.47134413,99.12472547,66.22910751,4.547704691,3.143616527,2.215988474,81.42305816,39.65936775,24.58024605,11.5872034
8.4,37.81405917,99.14087932,68.12554402,4.607106154,3.181876394,2.242687511,82.17347661,40.14483804,24.90480325,11.79338586
8.5,38.15853078,99.14898326,69.99092163,4.666948175,3.220082771,2.269386564,82.91171857,40.62457466,25.21446674,11.99990958
8.6,38.51056785,99.15026044,71.81552014,4.727276853,3.258230959,2.296085634,83.63522711,41.09910433,25.50880491,12.2067172
8.7,38.85071361,99.15153768,73.5896193,4.788138288,3.296316257,2.322784723,84.34144532,41.56895381,25.78738614,12.41375134
8.8,39.19196105,99.15281483,75.30349892,4.84957858,3.334333967,2.349483831,85.02781629,42.03464983,26.04977882,12.62095461
8.9,39.53074251,99.15409191,76.94743876,4.911643827,3.372279388,2.37618296,85.6917831,42.49671915,26.29555133,12.82826965
9,39.85368268,99.15536922,78.5117186,4.97438013,3.410147822,2.40288211,86.33078883,42.95568851,26.52427206,13.03563907
9.1,40.18684546,99.15664635,79.99691074,5.037778282,3.447942547,2.429581281,86.94525849,43.41154315,26.73626894,13.2431391
9.2,40.52416122,99.15792352,81.41209356,5.101788988,3.485670724,2.456280474,87.53783628,43.86380543,26.93222271,13.45089113
9.3,40.86107004,99.15920064,82.76030597,5.166398215,3.52333348,2.482979688,88.10929403,44.31230781,27.1122309,13.65890554
9.4,41.19212978,99.16047784,84.04458686,5.23159193,3.56093194,2.509678922,88.66040361,44.75688271,27.27639108,13.86719271
9.5,41.52858726,99.16175499,85.26797515,5.297356099,3.598467231,2.536378176,89.19193685,45.19736258,27.42480079,14.07576302
9.6,41.83189143,99.16303214,86.43350973,5.363676687,3.635940479,2.56307745,89.70466561,45.63357984,27.55755759,14.28462685
9.7,42.1634604,99.1643094,87.54422952,5.430539662,3.673352808,2.589776745,90.19936174,46.06536694,27.67475901,14.49379459
9.8,42.48451675,99.16558651,88.60317341,5.49793099,3.710705346,2.616476058,90.67679709,46.49255631,27.77650263,14.7032766
9.9,42.80137963,99.16686371,89.61338031,5.565836637,3.747999218,2.643175391,91.1377435,46.91498038,27.86288598,14.91308329
10,43.13593455,99.16814091,90.57788913,5.634242569,3.785235549,2.669874744,91.58297283,47.3324716,27.93400662,15.12322501
